Speed[r/min],Torque[Nm],Voltage (Amplitude)[V],
21.8905472636816,2148.25870646766,58.4330190098475,
21.8905472636816,2165.17412935323,58.672024742403,
21.8905472636816,2182.08955223881,58.9200538722202,
21.8905472636816,2199.00497512438,59.1753956445415,
21.8905472636816,2215.92039800995,59.4363393046096,
21.8905472636816,2232.83582089552,59.7011740976671,
21.8905472636816,2249.75124378109,59.9681892689564,
21.8905472636816,2266.66666666667,60.2356740637203,
21.8905472636816,2283.58208955224,60.5019177272011,
21.8905472636816,2300.49751243781,60.7652074705374,
21.8905472636816,2317.41293532338,61.0243798782519,
21.8905472636816,2334.32835820895,61.2803339018946,
21.8905472636816,2351.24378109453,61.5344099242428,
21.8905472636816,2368.1592039801,61.7879483280738,
21.8905472636816,2385.07462686567,62.0422894961652,
21.8905472636816,2401.99004975124,62.2987738112943,
21.8905472636816,2418.90547263682,62.5587416562384,
21.8905472636816,2435.82089552239,62.8235334137751,
21.8905472636816,2452.73631840796,63.0944894666816,
21.8905472636816,2469.65174129353,63.3726649611324,
21.8905472636816,2486.5671641791,63.6564741311079,
21.8905472636816,2503.48258706468,63.9447695535827,
21.8905472636816,2520.39800995025,64.2367484200235,
21.8905472636816,2537.31343283582,64.5316079218968,
21.8905472636816,2554.22885572139,64.8285452506694,
21.8905472636816,2571.14427860697,65.1267575978078,
21.8905472636816,2588.05970149254,65.4254421547786,
21.8905472636816,2604.97512437811,65.7237961130486,
21.8905472636816,2621.89054726368,66.0210166640844,
21.8905472636816,2638.80597014925,66.3159255415293,
21.8905472636816,2655.72139303483,66.6072017786515,
21.8905472636816,2672.6368159204,66.8948567060921,
21.8905472636816,2689.55223880597,67.1789590973525,
21.8905472636816,2706.46766169154,67.459577725934,
21.8905472636816,2723.38308457711,67.7367813653377,
21.8905472636816,2740.29850746269,68.0106387890652,
21.8905472636816,2757.21393034826,68.2812187706176,
21.8905472636816,2774.12935323383,68.5485900834962,
21.8905472636816,2791.0447761194,68.8128214049968,
21.8905472636816,2807.96019900498,69.0739609688273,
21.8905472636816,2824.87562189055,69.332325998409,
21.8905472636816,2841.79104477612,69.5883723497637,
21.8905472636816,2858.70646766169,69.8425558789131,
21.8905472636816,2875.62189054726,70.0953324418792,
21.8905472636816,2892.53731343284,70.3471578946836,
21.8905472636816,2909.45273631841,70.5984880933483,
21.8905472636816,2926.36815920398,70.8497788938949,
21.8905472636816,2943.28358208955,71.1014861523453,
21.8905472636816,2960.19900497512,71.3544439767897,
21.8905472636816,2977.1144278607,71.6140015412988,
21.8905472636816,2994.02985074627,71.881806196214,
21.8905472636816,3010.94527363184,72.1579155930873,
21.8905472636816,3027.86069651741,72.4423873834708,
21.8905472636816,3044.77611940298,72.7352792189166,
21.8905472636816,3061.69154228856,73.0366487509766,
21.8905472636816,3078.60696517413,73.3465536312031,
21.8905472636816,3095.5223880597,73.6650515111479,
21.8905472636816,3112.43781094527,73.9922000423631,
21.8905472636816,3129.35323383085,73.9556899962486,
21.8905472636816,3146.26865671642,72.3396922149369,
21.8905472636816,3163.18407960199,69.4080899810011,
21.8905472636816,3180.09950248756,65.5670772719398,
21.8905472636816,3197.01492537313,61.2228480652514,
21.8905472636816,3213.93034825871,56.781596338435,
21.8905472636816,3230.84577114428,52.6495160689886,
21.8905472636816,3247.76119402985,49.2328012344113,
21.8905472636816,3264.67661691542,77.0198394087681,
21.8905472636816,3281.59203980099,77.0198394087681,
43.7810945273632,0,25.3158782866328,
43.7810945273632,16.9154228855721,25.2757588987891,
43.7810945273632,33.8308457711443,25.3728265568222,
43.7810945273632,50.7462686567164,25.6140503767575,
43.7810945273632,67.6616915422886,26.0063994746208,
43.7810945273632,84.5771144278607,26.5568429664378,
43.7810945273632,101.492537313433,27.272349968234,
43.7810945273632,118.407960199005,28.1598895960351,
43.7810945273632,135.323383084577,29.2264309658668,
43.7810945273632,152.238805970149,30.4789431937548,
43.7810945273632,169.154228855721,31.9147519020984,
43.7810945273632,186.069651741294,33.3826432333182,
43.7810945273632,202.985074626866,34.8273919832008,
43.7810945273632,219.900497512438,36.2475732906554,
43.7810945273632,236.81592039801,37.641762294591,
43.7810945273632,253.731343283582,39.0085341339166,
43.7810945273632,270.646766169154,40.3464639475413,
43.7810945273632,287.562189054726,41.6541268743742,
43.7810945273632,304.477611940298,42.9300980533243,
43.7810945273632,321.393034825871,44.1729526233008,
43.7810945273632,338.308457711443,45.3830685208337,
43.7810945273632,355.223880597015,46.5641901125887,
43.7810945273632,372.139303482587,47.7101009130211,
43.7810945273632,389.054726368159,48.8135687285657,
43.7810945273632,405.970149253731,49.8673613656577,
43.7810945273632,422.885572139303,50.8642466307319,
43.7810945273632,439.800995024876,51.7969923302234,
43.7810945273632,456.716417910448,52.6583662705671,
43.7810945273632,473.63184079602,53.4411362581982,
43.7810945273632,490.547263681592,54.1380700995515,
43.7810945273632,507.462686567164,54.7624529848896,
43.7810945273632,524.378109452736,55.3507773234567,
43.7810945273632,541.293532338308,55.9172350490632,
43.7810945273632,558.208955223881,56.4757377869658,
43.7810945273632,575.124378109453,57.0401971624215,
43.7810945273632,592.039800995025,57.6245248006871,
43.7810945273632,608.955223880597,58.2426323270193,
43.7810945273632,625.870646766169,58.9084313666752,
43.7810945273632,642.786069651741,59.6358335449114,
43.7810945273632,659.701492537313,60.4383082520152,
43.7810945273632,676.616915422886,61.3050992488853,
43.7810945273632,693.532338308458,62.21197695389,
43.7810945273632,710.44776119403,63.1396820554635,
43.7810945273632,727.363184079602,64.0689552420397,
43.7810945273632,744.278606965174,64.9805372020528,
43.7810945273632,761.194029850746,65.8551686239368,
43.7810945273632,778.109452736318,66.6735901961259,
43.7810945273632,795.02487562189,67.416542607054,
43.7810945273632,811.940298507463,68.0647665451553,
43.7810945273632,828.855721393035,68.6094160624241,
43.7810945273632,845.771144278607,69.1072806975015,
43.7810945273632,862.686567164179,69.5733338091374,
43.7810945273632,879.601990049751,70.011419482445,
43.7810945273632,896.517412935323,70.4253818025373,
43.7810945273632,913.432835820895,70.8190648545273,
43.7810945273632,930.348258706468,71.1963127235281,
43.7810945273632,947.26368159204,71.5609694946527,
43.7810945273632,964.179104477612,71.9168792530142,
43.7810945273632,981.094527363184,72.2678860837256,
43.7810945273632,998.009950248756,72.6167718995494,
43.7810945273632,1014.92537313433,72.9640693541058,
43.7810945273632,1031.8407960199,73.3117635528094,
43.7810945273632,1048.75621890547,73.6619125967111,
